Estacion,Dia_Semana,Hora_Dia,Clima,Torniquetes_Activos,Retraso_Operativo_Min,Pasajeros_Hora,Tiempo_Espera_Min,Nivel_Congestion
Principe de Vergara,Lunes,18,Nublado,2,0,1953,5.8,Alta
Banco de Espana,Sabado,10,Lluvia,7,0,272,8.2,Media
Noviciado,Martes,9,Lluvia,8,0,1314,5.9,Alta
Lago,Domingo,20,Nublado,6,0,493,3.7,Baja
Alonso Martinez,Viernes,12,Soleado,8,5,436,9.8,Media
Opera,Lunes,13,Tormenta,8,0,403,6.3,Media
Quevedo,Miercoles,17,Lluvia,5,0,1271,5.3,Alta
Banco de Espana,Martes,13,Tormenta,9,0,345,4.7,Baja
Callao,Miercoles,15,Tormenta,8,0,461,3.8,Baja
Goya,Sabado,11,Soleado,10,0,512,4.3,Baja
Callao,Jueves,7,Lluvia,2,5,1570,13.0,Alta
Opera,Sabado,11,Soleado,2,0,251,3.4,Baja
Retiro,Viernes,22,Nublado,5,20,550,23.3,Alta
Tribunal,Sabado,13,Tormenta,6,10,550,17.8,Alta
Goya,Sabado,23,Soleado,3,0,670,3.7,Media
Goya,Jueves,5,Soleado,8,0,567,2.0,Baja
Callao,Viernes,15,Tormenta,2,0,574,5.7,Media
Bilbao,Domingo,22,Lluvia,4,0,294,6.1,Media
Embajadores,Sabado,21,Lluvia,7,0,570,3.9,Baja
Retiro,Domingo,17,Soleado,2,20,251,23.8,Alta
Retiro,Viernes,13,Soleado,10,0,619,3.3,Media
Quevedo,Viernes,14,Lluvia,7,0,429,5.1,Media
Tribunal,Sabado,11,Tormenta,5,0,459,4.1,Baja
Tribunal,Martes,12,Lluvia,2,0,387,3.9,Baja
Retiro,Domingo,13,Soleado,10,0,586,3.1,Baja
Banco de Espana,Viernes,12,Lluvia,9,10,203,16.2,Alta
Principe Pio,Viernes,13,Tormenta,6,20,517,24.9,Alta
Anton Martin,Sabado,19,Tormenta,5,0,367,6.0,Media
Lago,Miercoles,5,Soleado,5,0,558,2.7,Baja
Noviciado,Miercoles,9,Lluvia,5,0,781,5.3,Media
Anton Martin,Viernes,17,Lluvia,9,0,1051,7.2,Media
Atocha,Martes,9,Soleado,5,0,1602,3.5,Alta
Opera,Martes,22,Nublado,3,0,463,3.8,Baja
Retiro,Martes,16,Lluvia,7,0,568,5.6,Media
Alonso Martinez,Domingo,21,Tormenta,7,0,453,5.8,Media
Plaza de Espana,Martes,20,Nublado,3,0,277,3.1,Baja
Gran Via,Jueves,23,Lluvia,7,0,554,4.1,Baja
Principe Pio,Jueves,5,Tormenta,2,0,535,5.2,Media
Lago,Jueves,9,Soleado,2,0,1469,6.1,Alta
Principe Pio,Viernes,18,Tormenta,8,0,1039,4.1,Media
Retiro,Domingo,13,Soleado,5,0,502,4.4,Baja
Plaza de Espana,Domingo,16,Nublado,10,20,316,24.3,Alta
Goya,Viernes,7,Soleado,7,20,1739,23.1,Alta
Embajadores,Martes,10,Soleado,6,0,411,2.7,Baja
Sevilla,Lunes,8,Soleado,4,0,733,2.2,Media
Callao,Viernes,18,Nublado,8,0,1548,2.7,Alta
Principe de Vergara,Lunes,11,Tormenta,8,0,240,5.0,Baja
Alonso Martinez,Domingo,5,Lluvia,6,0,451,5.5,Media
Atocha,Lunes,18,Tormenta,5,0,1536,4.2,Alta
